Nombre,X,Y,Ángulo,Valor,Paquete
C1,7.35,15.37,90.00,?,C1206
R1,10.99,15.37,270.00,,R1206
R2,14.43,15.37,270.00,,R1206
R3,23.13,9.58,90.00,,R1206
R4,23.13,15.40,270.00,,R1206
R5,18.13,15.21,90.00,,R1206
U1,13.61,22.68,90.00,MCP4725,SOT23-6
U2,12.77,9.25,0.00,LM358TSSOP8,TSSOP8
